previousStep,LTerm1,LTerm2,LOp1,LTerm3,LTerm4,LOp2,LTerm5,LTerm6,LOp3,LTerm7,LTerm8,LOp4,LTerm9,LTerm10,LOp5,LTerm11,LTerm12,RTerm1,RTerm2,ROp1,RTerm3,RTerm4,ROp2,RTerm5,RTerm6,ROp3,RTerm7,RTerm8,ROp4,RTerm9,RTerm10,ROp5,RTerm11,RTerm12
-x-4=11,-x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-15=-7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-15=-7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+14=-29,-x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+14=-29,-x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+14=-29,-x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+14=-29,-x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+14=-29,-x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-19=-42,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-19=-42,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+12=27,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6x-3=2x+5,ax,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,ax,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
3*(x-1)-(2x)/(5)=(5*(x-3))/(6),a,none,*,(,x,-,c,),-,(dx),none,/,(e),none,none,none,none,a,none,*,(,x,-,c,),/,(d),none,none,none,none,none,none,none
3*(x-1)-(2x)/(5)=(5*(x-3))/(6),a,none,*,(,x,-,c,),-,(dx),none,/,(e),none,none,none,none,a,none,*,(,x,-,c,),/,(d),none,none,none,none,none,none,none
3*(x-1)-(2x)/(5)=(5*(x-3))/(6),a,none,*,(,x,-,c,),-,(dx),none,/,(e),none,none,none,none,a,none,*,(,x,-,c,),/,(d),none,none,none,none,none,none,none
x+7=23,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-19=-42,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+2=20,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+2=20,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+18=-18,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+3=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
(x)/(3)+1=5,(x),none,/,(b),none,+,c,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+3=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=6-1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=4+1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
(x)/(16)+1=2,(x),none,/,(bb),none,+,c,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-6=-23,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-6=-23,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+16=28,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+16=28,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=4,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+13=28,-x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-13=-28,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-28+13,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
2=-(30)/(x),a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-(aa),none,/,(x),none,none,none,none,none,none,none,none,none,none,none,none,none
2*(2*x)=-60,a,none,*,(,b,*,x,),none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2*(2*x)=-60,a,none,*,(,b,*,x,),none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2*(2*x)=-60,a,none,*,(,b,*,x,),none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2*(2*x)=-60,a,none,*,(,b,*,x,),none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x*x=225,x,none,*,x,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-17-9,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
-x-7=7,-x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x-7=7,-x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x-15=30,-x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+15=-30,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+15=-30,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-6=18,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+100=-200,-x,none,+,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+17=36,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+17=36,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+24=240,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+127=189,x,none,+,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+127=189,x,none,+,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+100=101,x,none,+,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-11=-121,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=-63,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=-63,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=-63,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=-63,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=-63,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=-63,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+16+1=-64,x,none,+,bb,none,+,c,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+16+1=-64,x,none,+,bb,none,+,c,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+257=319,x,none,+,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+257=319,x,none,+,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9x=18,ax,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9x=18,ax,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=3*1-1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,*,b,none,-,c,none,none,none,none,none,none,none,none,none,none
x=3*1-1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,*,b,none,-,c,none,none,none,none,none,none,none,none,none,none
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+8=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=15-8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x-6=-23,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4x=-28,ax,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-(28)/(4),x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-(aa),none,/,(b),none,none,none,none,none,none,none,none,none,none,none,none,none
x=-(28)/(4),x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-(aa),none,/,(b),none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+3=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=32-16,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=8,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+0=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=12-0,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,z,none,none,none,none,none,none,none,none,none,none,none,none,none
x=27-12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x=27-12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=8,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=34-19,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-11-7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-23+6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-23+6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-10+8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-18-18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-21+12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-21+12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=-4,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=-4,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+9=-19,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+9=-19,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=42-29,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=-4,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=28-13,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x+29=42,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+5=9,-x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+22=-22,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+25=-50,-x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-15=-7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-15=-7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-15=-7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-13=-11,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=-189+127,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,+,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none
-x-100=-101,-x,none,-,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-6=-23,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=-101+100,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,+,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=-101+100,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,+,bbb,none,none,none,none,none,none,none,none,none,none,none,none,none
x-6=-23,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-19=-42,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-88+22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=63-7,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=20,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=20,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=20,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+16=28,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-14=7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-14=7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16x+41=-8x+5,aax,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-ax,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
2x-(-4x-4)=-2x-(4x+4),ax,none,-,(,-bx,-,c,),none,none,none,none,none,none,none,none,none,-ax,none,-,(,bx,+,c,),none,none,none,none,none,none,none,none,none
2x-(-4x-4)=-2x-(4x+4),ax,none,-,(,-bx,-,c,),none,none,none,none,none,none,none,none,none,-ax,none,-,(,bx,+,c,),none,none,none,none,none,none,none,none,none
5x=-25,ax,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=17,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-3=5,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=5+3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=23,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-14=7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=34-19,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x+8=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+4=9,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+4=9,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-6=10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-1-14,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x=19+12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-1-14,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=8,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+3=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=8,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-10+8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x+8=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=-11,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-12-6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x+8=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-23+6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-22-22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+11=27,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=27-11,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x=27-11,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-23+6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x-19=-42,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-19=-42,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-3=5,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=15,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=15,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=15,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=15,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=15,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=26,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x=7+7,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+8=12,-x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+8=12,-x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=12-7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=12-7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
