previousStep,LTerm1,LTerm2,LOp1,LTerm3,LTerm4,LOp2,LTerm5,LTerm6,LOp3,LTerm7,LTerm8,LOp4,LTerm9,LTerm10,LOp5,LTerm11,LTerm12,RTerm1,RTerm2,ROp1,RTerm3,RTerm4,ROp2,RTerm5,RTerm6,ROp3,RTerm7,RTerm8,ROp4,RTerm9,RTerm10,ROp5,RTerm11,RTerm12
x+5=8,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=8-5-0,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,-,b,none,-,z,none,none,none,none,none,none,none,none,none,none
x+12=27,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+12=27,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+16=32,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+16=32,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=32-16,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none
x+8=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+19=34,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+12=27,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-6=10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=-4,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
-x+14=-29,-x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
(35x)/(35)=-(70)/(35),(aax),none,/,(bb),none,none,none,none,none,none,none,none,none,none,none,none,none,-(aa),none,/,(bb),none,none,none,none,none,none,none,none,none,none,none,none,none
x=-(60)/(18),x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-(aa),none,/,(bb),none,none,none,none,none,none,none,none,none,none,none,none,none
x-4=4,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
(x)/(12)=-12,(x),none,/,(bb),none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
