wrongStep,ALTerm1,ALTerm2,ALOp1,ALTerm3,ALTerm4,ALOp2,ALTerm5,ALTerm6,ALOp3,ALTerm7,ALTerm8,ALOp4,ALTerm9,ALOp5,Lterm10,Lterm11,ARTerm1,ARTerm2,AROp1,ARTerm3,ARTerm4,AROp2,ARTerm5,ARTerm6,AROp3,ARTerm7,ARTerm8
x=2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=-30,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=-316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=+316,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=201,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
100-x-100=-101-100,aaa,none,-,x,none,-,ccc,none,none,none,none,none,none,none,none,none,-aaa,none,-,bbb,none,none,none,none,none,none,none
x+7-7=17-7,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+7-7=12,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x-6+6=10-6,x,none,-,b,none,+,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x=12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x-4+4=4-4,x,none,-,b,none,+,c,none,none,none,none,none,none,none,none,none,a,none,-,b,none,none,none,none,none,none,none
x=17,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x+5-5=-4+5,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,-a,none,+,b,none,none,none,none,none,none,none
x+9-9=-19-19,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,-aa,none,-,bb,none,none,none,none,none,none,none
x=+30,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-110,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,none,none,none,none,none,none,none,none,none
x=394,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
-x-1=-62*-1,-x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,*,-b,none,none,none,none,none,none,none
x=-18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=+2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x-8+8=10+8,x,none,-,b,none,+,c,none,none,none,none,none,none,none,none,none,aa,none,+,b,none,none,none,none,none,none,none
x=0,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,z,none,none,none,none,none,none,none,none,none,none
x+8+8=17,x,none,+,b,none,+,c,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x+8-8=17,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x+7-7=-11+7,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none
x+7-7=-11+7,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none
x=4,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=33,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=33,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-33,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=33,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=33,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=25,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-25,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=27+12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,+,bb,none,none,none,none,none,none,none
4x=2,ax,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
3x-3-(2x)/(5)=(5x-15)/(6),ax,none,-,b,none,-,(cx),none,/,(d),none,none,none,none,none,none,(,ax,-,bb,),/,(c),none,none,none,none
3x-3-(2x)/(5)=(5x)/(6)*(-15)/(6),ax,none,-,b,none,-,(cx),none,/,(d),none,none,none,none,none,none,(ax),none,/,(b),none,*,(-c),none,/,(d),none
3x-3-(2x)/(5)=(5*(x-3))/(6),ax,none,-,b,none,-,(cx),none,/,(d),none,none,none,none,none,none,a,none,*,(,x,-,c,),/,(d),none
x=14,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-36,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x+2-2=2-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,a,none,-,b,none,none,none,none,none,none,none
x+18-18=-18+18,x,none,+,bb,none,-,cc,none,none,none,none,none,none,none,none,none,-aa,none,+,bb,none,none,none,none,none,none,none
x+1=5,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=5-1*3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,-,b,none,*,c,none,none,none,none
x=5,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x^2=25,x,none,^,b,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=(251)/(2),x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,(aaa),none,/,(b),none,none,none,none,none,none,none
(x)/(12)=1,(x),none,/,(bb),none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=10+8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,+,b,none,none,none,none,none,none,none
x=17,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=16,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=42,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=44,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=4,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x-13=28,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
(2x)/(3)-(26)/(13)=-28*(2)/(3),(ax),none,/,(b),none,-,(cc),none,/,(dd),none,none,none,none,none,none,-aa,none,*,(b),none,/,(c),none,none,none,none
(2x)/(3)=-30,(ax),none,/,(b),none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
2=-(60)/(2)*x,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-(aa),none,/,(b),none,*,x,none,none,none,none
4*2x=-60,a,none,*,bx,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
4+2x=-60,a,none,+,bx,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
2*x=-60,a,none,*,x,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
2*x=-60,a,none,*,x,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=5,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=20,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x+15=30,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=9*5,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,*,b,none,none,none,none,none,none,none
15x=-135,aax,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,none,none,none,none,none,none,none,none,none
x=12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x-100=20,x,none,-,bbb,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=53,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=21,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=264,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=216,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=47,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=201,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=-111,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,none,none,none,none,none,none,none,none,none
x=-54,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-54,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-54,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-54,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-54,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-54,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x+17=64,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x+16=63,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=124,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=142,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aaa,none,none,none,none,none,none,none,none,none,none
x=8*2+3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,*,b,none,+,c,none,none,none,none
x=4*2+1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,*,b,none,+,c,none,none,none,none
x=10,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=4,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=12+7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,+,b,none,none,none,none,none,none,none
x=12+7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,+,b,none,none,none,none,none,none,none
x=15+8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,+,b,none,none,none,none,none,none,none
x=6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=-23-6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,b,none,none,none,none,none,none,none
4x=(28)/(4),ax,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,(aa),none,/,(b),none,none,none,none,none,none,none
x=7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=12-8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x=13,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=13,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=16,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=16,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-16,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=-32,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=9,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=28,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=38,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=11,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-13,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
-x=-4,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-24,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
-x=-50-23,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,bb,none,none,none,none,none,none,none
x=0,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,z,none,none,none,none,none,none,none,none,none,none
x=-14,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
-x=-162,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,none,none,none,none,none,none,none,none,none
x=-101+100,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aaa,none,+,bbb,none,none,none,none,none,none,none
x=29,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
-x=1,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
-x=1,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=17,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-21,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
-x=52,-x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-13,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=13,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-21,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
24x=36,aax,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=0,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,z,none,none,none,none,none,none,none,none,none,none
x=2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=5,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=17-8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x=5-3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,-,b,none,none,none,none,none,none,none
x=2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=28,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x+7-7=12,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x+7-7=12,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=16,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=8-15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,-,bb,none,none,none,none,none,none,none
x+4-4=9,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x-4=9,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=10-6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x=15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=16+12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,+,bb,none,none,none,none,none,none,none
x=15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x+5-5=8-8,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,a,none,-,b,none,none,none,none,none,none,none
x=12+3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,+,b,none,none,none,none,none,none,none
x=8-3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,-,b,none,none,none,none,none,none,none
x=2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
8-15=x,a,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,x,none,none,none,none,none,none,none,none,none,none
x=-8-11,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,-,bb,none,none,none,none,none,none,none
x=-16,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x+8-8=15,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=17,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=0,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,z,none,none,none,none,none,none,none,none,none,none
x=10+4,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,+,b,none,none,none,none,none,none,none
11-27=x,aa,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,x,none,none,none,none,none,none,none,none,none,none
x=6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=17,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-42-19,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,bb,none,none,none,none,none,none,none
x=-42+18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,bb,none,none,none,none,none,none,none
x=5-3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,-,b,none,none,none,none,none,none,none
x=2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=14,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=14,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
1*(-x)=14,a,none,*,-x,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
